Date,Hour,Toronto,weekday
2003-05-13,4,4302,1
2003-05-13,5,4499,1
2003-05-13,6,4931,1
2003-05-13,7,5643,1
2003-05-13,8,6087,1
2003-05-13,9,6259,1
2003-05-13,10,6393,1
2003-05-13,11,6448,1
2003-05-13,12,6402,1
2003-05-13,13,6393,1
2003-05-13,14,6362,1
2003-05-13,15,6338,1
2003-05-13,16,6362,1
2003-05-13,17,6342,1
2003-05-13,18,6256,1
2003-05-13,19,6153,1
2003-05-13,20,6154,1
2003-05-13,21,6096,1
2003-05-13,22,5716,1
2003-05-13,23,5182,1
2003-05-13,24,4886,1
2003-05-14,1,4594,1
2003-05-14,2,4430,1
2003-05-14,3,4423,1
2003-05-14,4,4378,1
2003-05-14,5,4432,1
2003-05-14,6,4846,1
2003-05-14,7,5560,1
2003-05-14,8,5919,1
2003-05-14,9,6088,1
2003-05-14,10,6240,1
2003-05-14,11,6317,1
2003-05-14,12,6283,1
2003-05-14,13,6282,1
2003-05-14,14,6254,1
2003-05-14,15,6233,1
2003-05-14,16,6251,1
2003-05-14,17,6211,1
2003-05-14,18,6068,1
2003-05-14,19,5921,1
2003-05-14,20,5957,1
2003-05-14,21,5976,1
2003-05-14,22,5592,1
2003-05-14,23,5037,1
2003-05-14,24,4639,1
2003-05-15,1,4412,1
2003-05-15,2,4266,1
2003-05-15,3,4206,1
2003-05-15,4,4223,1
2003-05-15,5,4404,1
2003-05-15,6,4823,1
2003-05-15,7,5523,1
2003-05-15,8,5898,1
2003-05-15,9,6098,1
2003-05-15,10,6243,1
2003-05-15,11,6317,1
2003-05-15,12,6305,1
2003-05-15,13,6293,1
2003-05-15,14,6245,1
2003-05-15,15,6249,1
2003-05-15,16,6292,1
2003-05-15,17,6240,1
2003-05-15,18,6158,1
2003-05-15,19,6045,1
2003-05-15,20,6103,1
2003-05-15,21,5987,1
2003-05-15,22,5569,1
2003-05-15,23,5037,1
2003-05-15,24,4627,1
2003-05-16,1,4385,1
2003-05-16,2,4246,1
2003-05-16,3,4182,1
2003-05-16,4,4188,1
2003-05-16,5,4349,1
2003-05-16,6,4810,1
2003-05-16,7,5504,1
2003-05-16,8,5958,1
2003-05-16,9,6192,1
2003-05-16,10,6385,1
2003-05-16,11,6476,1
2003-05-16,12,6463,1
2003-05-16,13,6443,1
2003-05-16,14,6345,1
2003-05-16,15,6265,1
2003-05-16,16,6248,1
2003-05-16,17,6207,1
2003-05-16,18,6094,1
2003-05-16,19,5960,1
2003-05-16,20,5941,1
2003-05-16,21,5774,1
2003-05-16,22,5411,1
2003-05-16,23,4912,1
2003-05-16,24,4514,1
2003-05-17,1,4264,0
2003-05-17,2,4117,0
2003-05-17,3,4024,0
2003-05-17,4,3995,0
2003-05-17,5,4025,0
2003-05-17,6,4096,0
2003-05-17,7,4317,0
2003-05-17,8,4658,0
2003-05-17,9,4935,0
2003-05-17,10,5081,0
2003-05-17,11,5150,0
2003-05-17,12,5145,0
2003-05-17,13,5070,0
2003-05-17,14,4991,0
2003-05-17,15,4912,0
2003-05-17,16,4892,0
2003-05-17,17,4915,0
2003-05-17,18,4890,0
2003-05-17,19,4866,0
2003-05-17,20,4937,0
2003-05-17,21,4971,0
2003-05-17,22,4766,0
2003-05-17,23,4481,0
2003-05-17,24,4189,0
2003-05-18,1,3985,0
2003-05-18,2,3830,0
2003-05-18,3,3749,0
2003-05-18,4,3716,0
2003-05-18,5,3704,0
2003-05-18,6,3685,0
2003-05-18,7,3834,0
2003-05-18,8,4119,0
2003-05-18,9,4399,0
2003-05-18,10,4597,0
2003-05-18,11,4723,0
2003-05-18,12,4774,0
2003-05-18,13,4736,0
2003-05-18,14,4688,0
2003-05-18,15,4644,0
2003-05-18,16,4649,0
2003-05-18,17,4657,0
2003-05-18,18,4605,0
2003-05-18,19,4545,0
2003-05-18,20,4585,0
2003-05-18,21,4765,0
2003-05-18,22,4627,0
2003-05-18,23,4355,0
2003-05-18,24,4078,0
2003-05-19,1,3851,1
2003-05-19,2,3731,1
2003-05-19,3,3662,1
2003-05-19,4,3642,1
2003-05-19,5,3652,1
2003-05-19,6,3680,1
2003-05-19,7,3852,1
2003-05-19,8,4139,1
2003-05-19,9,4459,1
2003-05-19,10,4717,1
2003-05-19,11,4849,1
2003-05-19,12,4869,1
2003-05-19,13,4827,1
2003-05-19,14,4764,1
2003-05-19,15,4745,1
2003-05-19,16,4823,1
2003-05-19,17,4918,1
2003-05-19,18,4905,1
2003-05-19,19,4868,1
2003-05-19,20,5009,1
2003-05-19,21,5162,1
2003-05-19,22,4930,1
2003-05-19,23,4565,1
2003-05-19,24,4223,1
2003-05-20,1,4030,1
2003-05-20,2,3926,1
2003-05-20,3,3873,1
2003-05-20,4,3908,1
2003-05-20,5,4107,1
2003-05-20,6,4543,1
2003-05-20,7,5310,1
2003-05-20,8,5775,1
2003-05-20,9,6044,1
2003-05-20,10,6245,1
2003-05-20,11,6374,1
2003-05-20,12,6386,1
2003-05-20,13,6412,1
2003-05-20,14,6455,1
2003-05-20,15,6468,1
2003-05-20,16,6552,1
2003-05-20,17,6532,1
2003-05-20,18,6439,1
2003-05-20,19,6324,1
2003-05-20,20,6146,1
2003-05-20,21,6038,1
2003-05-20,22,5581,1
2003-05-20,23,5069,1
2003-05-20,24,4665,1
2003-05-21,1,4449,1
2003-05-21,2,4304,1
2003-05-21,3,4236,1
2003-05-21,4,4245,1
2003-05-21,5,4386,1
2003-05-21,6,4866,1
2003-05-21,7,5543,1
2003-05-21,8,5901,1
2003-05-21,9,6076,1
2003-05-21,10,6191,1
2003-05-21,11,6257,1
2003-05-21,12,6237,1
2003-05-21,13,6230,1
2003-05-21,14,6205,1
2003-05-21,15,6196,1
2003-05-21,16,6200,1
2003-05-21,17,6171,1
2003-05-21,18,6044,1
2003-05-21,19,5880,1
2003-05-21,20,5934,1
2003-05-21,21,6019,1
2003-05-21,22,5669,1
2003-05-21,23,5094,1
2003-05-21,24,4674,1
2003-05-22,1,4432,1
2003-05-22,2,4309,1
2003-05-22,3,4253,1
2003-05-22,4,4271,1
2003-05-22,5,4451,1
2003-05-22,6,4820,1
2003-05-22,7,5492,1
2003-05-22,8,5877,1
2003-05-22,9,6038,1
2003-05-22,10,6190,1
2003-05-22,11,6254,1
2003-05-22,12,6246,1
2003-05-22,13,6243,1
2003-05-22,14,6209,1
2003-05-22,15,6157,1
2003-05-22,16,6204,1
2003-05-22,17,6170,1
2003-05-22,18,6022,1
2003-05-22,19,5905,1
2003-05-22,20,5943,1
2003-05-22,21,6047,1
2003-05-22,22,5653,1
2003-05-22,23,5097,1
2003-05-22,24,4672,1
2003-05-23,1,4460,1
2003-05-23,2,4307,1
2003-05-23,3,4250,1
2003-05-23,4,4254,1
2003-05-23,5,4413,1
2003-05-23,6,4819,1
2003-05-23,7,5520,1
2003-05-23,8,5868,1
2003-05-23,9,6049,1
2003-05-23,10,6255,1
2003-05-23,11,6366,1
2003-05-23,12,6301,1
2003-05-23,13,6277,1
2003-05-23,14,6199,1
2003-05-23,15,6134,1
2003-05-23,16,6120,1
2003-05-23,17,6049,1
2003-05-23,18,5971,1
2003-05-23,19,5882,1
2003-05-23,20,5894,1
2003-05-23,21,5798,1
2003-05-23,22,5430,1
2003-05-23,23,4927,1
2003-05-23,24,4549,1
2003-05-24,1,4287,0
2003-05-24,2,4177,0
2003-05-24,3,4107,0
2003-05-24,4,4048,0
2003-05-24,5,4084,0
2003-05-24,6,4191,0
2003-05-24,7,4421,0
2003-05-24,8,4848,0
2003-05-24,9,5152,0
2003-05-24,10,5387,0
2003-05-24,11,5471,0
2003-05-24,12,5455,0
2003-05-24,13,5369,0
2003-05-24,14,5268,0
2003-05-24,15,5180,0
2003-05-24,16,5102,0
2003-05-24,17,5115,0
2003-05-24,18,5082,0
2003-05-24,19,5011,0
2003-05-24,20,5024,0
2003-05-24,21,5103,0
2003-05-24,22,4921,0
2003-05-24,23,4596,0
2003-05-24,24,4297,0
2003-05-25,1,4069,0
2003-05-25,2,3920,0
2003-05-25,3,3820,0
2003-05-25,4,3784,0
2003-05-25,5,3789,0
2003-05-25,6,3789,0
2003-05-25,7,3945,0
2003-05-25,8,4244,0
2003-05-25,9,4580,0
2003-05-25,10,4840,0
2003-05-25,11,4997,0
2003-05-25,12,5079,0
2003-05-25,13,5037,0
2003-05-25,14,4972,0
2003-05-25,15,4946,0
2003-05-25,16,4977,0
2003-05-25,17,5019,0
2003-05-25,18,4971,0
2003-05-25,19,4910,0
2003-05-25,20,5045,0
2003-05-25,21,5207,0
2003-05-25,22,5017,0
2003-05-25,23,4656,0
2003-05-25,24,4348,0
2003-05-26,1,4137,1
2003-05-26,2,4049,1
2003-05-26,3,4019,1
2003-05-26,4,4006,1
2003-05-26,5,4180,1
2003-05-26,6,4603,1
2003-05-26,7,5294,1
2003-05-26,8,5731,1
2003-05-26,9,5998,1
2003-05-26,10,6158,1
2003-05-26,11,6246,1
2003-05-26,12,6278,1
2003-05-26,13,6286,1
2003-05-26,14,6271,1
2003-05-26,15,6258,1
2003-05-26,16,6264,1
2003-05-26,17,6238,1
2003-05-26,18,6125,1
2003-05-26,19,5946,1
2003-05-26,20,5918,1
2003-05-26,21,5995,1
2003-05-26,22,5618,1
2003-05-26,23,5052,1
2003-05-26,24,4609,1
2003-05-27,1,4398,1
2003-05-27,2,4252,1
2003-05-27,3,4190,1
2003-05-27,4,4203,1
2003-05-27,5,4315,1
2003-05-27,6,4725,1
2003-05-27,7,5409,1
2003-05-27,8,5834,1
2003-05-27,9,6033,1
2003-05-27,10,6217,1
2003-05-27,11,6293,1
2003-05-27,12,6284,1
2003-05-27,13,6289,1
2003-05-27,14,6274,1
2003-05-27,15,6263,1
2003-05-27,16,6346,1
2003-05-27,17,6270,1
2003-05-27,18,6101,1
2003-05-27,19,5918,1
2003-05-27,20,5920,1
2003-05-27,21,6003,1
2003-05-27,22,5623,1
2003-05-27,23,5063,1
2003-05-27,24,4642,1
2003-05-28,1,4390,1
2003-05-28,2,4250,1
2003-05-28,3,4189,1
2003-05-28,4,4183,1
2003-05-28,5,4293,1
2003-05-28,6,4702,1
2003-05-28,7,5412,1
2003-05-28,8,5876,1
2003-05-28,9,6089,1
2003-05-28,10,6289,1
2003-05-28,11,6473,1
2003-05-28,12,6500,1
2003-05-28,13,6516,1
2003-05-28,14,6495,1
2003-05-28,15,6474,1
2003-05-28,16,6494,1
2003-05-28,17,6443,1
2003-05-28,18,6266,1
2003-05-28,19,6103,1
2003-05-28,20,6070,1
2003-05-28,21,6084,1
2003-05-28,22,5716,1
2003-05-28,23,5128,1
2003-05-28,24,4713,1
2003-05-29,1,4447,1
2003-05-29,2,4277,1
2003-05-29,3,4211,1
2003-05-29,4,4211,1
2003-05-29,5,4351,1
2003-05-29,6,4765,1
2003-05-29,7,5486,1
2003-05-29,8,5894,1
2003-05-29,9,6168,1
2003-05-29,10,6370,1
2003-05-29,11,6489,1
2003-05-29,12,6515,1
2003-05-29,13,6561,1
2003-05-29,14,6509,1
2003-05-29,15,6481,1
2003-05-29,16,6515,1
2003-05-29,17,6421,1
2003-05-29,18,6260,1
2003-05-29,19,6082,1
2003-05-29,20,6036,1
2003-05-29,21,6055,1
2003-05-29,22,5668,1
2003-05-29,23,5115,1
2003-05-29,24,4677,1
2003-05-30,1,4441,1
2003-05-30,2,4268,1
2003-05-30,3,4187,1
2003-05-30,4,4183,1
2003-05-30,5,4311,1
2003-05-30,6,4723,1
2003-05-30,7,5442,1
2003-05-30,8,5897,1
2003-05-30,9,6141,1
2003-05-30,10,6334,1
2003-05-30,11,6446,1
2003-05-30,12,6445,1
2003-05-30,13,6432,1
2003-05-30,14,6352,1
2003-05-30,15,6314,1
2003-05-30,16,6310,1
2003-05-30,17,6154,1
2003-05-30,18,6026,1
2003-05-30,19,5906,1
2003-05-30,20,5875,1
2003-05-30,21,5831,1
2003-05-30,22,5496,1
2003-05-30,23,4954,1
2003-05-30,24,4560,1
2003-05-31,1,4310,0
2003-05-31,2,4120,0
2003-05-31,3,4018,0
2003-05-31,4,3974,0
2003-05-31,5,4018,0
2003-05-31,6,4052,0
2003-05-31,7,4282,0
2003-05-31,8,4678,0
2003-05-31,9,5014,0
2003-05-31,10,5233,0
2003-05-31,11,5343,0
2003-05-31,12,5352,0
2003-05-31,13,5350,0
2003-05-31,14,5290,0
2003-05-31,15,5225,0
2003-05-31,16,5269,0
2003-05-31,17,5309,0
2003-05-31,18,5228,0
2003-05-31,19,5131,0
2003-05-31,20,5121,0
2003-05-31,21,5141,0
2003-05-31,22,4952,0
2003-05-31,23,4624,0
2003-05-31,24,4336,0
2003-06-01,1,4151,0
2003-06-01,2,4006,0
2003-06-01,3,3922,0
2003-06-01,4,3870,0
2003-06-01,5,3832,0
2003-06-01,6,3800,0
2003-06-01,7,3978,0
2003-06-01,8,4304,0
2003-06-01,9,4591,0
2003-06-01,10,4824,0
2003-06-01,11,4955,0
2003-06-01,12,5000,0
2003-06-01,13,4975,0
2003-06-01,14,4924,0
2003-06-01,15,4902,0
2003-06-01,16,4987,0
2003-06-01,17,5026,0
2003-06-01,18,4988,0
2003-06-01,19,4970,0
2003-06-01,20,5055,0
2003-06-01,21,5263,0
2003-06-01,22,5091,0
2003-06-01,23,4719,0
2003-06-01,24,4402,0
2003-06-02,1,4191,1
2003-06-02,2,4109,1
2003-06-02,3,4072,1
2003-06-02,4,4094,1
2003-06-02,5,4291,1
2003-06-02,6,4733,1
